,geometry,fault_count,GiZScore,GiPValue
608,"POLYGON ((-0.2580867066802814 52.5743872554241, -0.2580867066802814 52.6243872554241, -0.3080867066802814 52.6243872554241, -0.3080867066802814 52.5743872554241, -0.2580867066802814 52.5743872554241))",511.0,-0.691680487222573,0.099
617,"POLYGON ((-0.2080867066802813 50.8243872554242, -0.2080867066802813 50.8743872554242, -0.2580867066802813 50.8743872554242, -0.2580867066802813 50.8243872554242, -0.2080867066802813 50.8243872554242))",256.0,,0.001
620,"POLYGON ((-0.2080867066802813 50.97438725542419, -0.2080867066802813 51.02438725542419, -0.2580867066802813 51.02438725542419, -0.2580867066802813 50.97438725542419, -0.2080867066802813 50.97438725542419))",639.0,,0.001
626,"POLYGON ((-0.2080867066802813 51.27438725542417, -0.2080867066802813 51.32438725542417, -0.2580867066802813 51.32438725542417, -0.2580867066802813 51.27438725542417, -0.2080867066802813 51.27438725542417))",216.0,0.30692424911387894,0.206
627,"POLYGON ((-0.2080867066802813 51.32438725542417, -0.2080867066802813 51.37438725542417, -0.2580867066802813 51.37438725542417, -0.2580867066802813 51.32438725542417, -0.2080867066802813 51.32438725542417))",582.0,0.539239552138868,0.167
628,"POLYGON ((-0.2080867066802813 51.37438725542417, -0.2080867066802813 51.42438725542416, -0.2580867066802813 51.42438725542416, -0.2580867066802813 51.37438725542417, -0.2080867066802813 51.37438725542417))",1152.0,0.007894800069957858,0.345
629,"POLYGON ((-0.2080867066802813 51.42438725542416, -0.2080867066802813 51.47438725542416, -0.2580867066802813 51.47438725542416, -0.2580867066802813 51.42438725542416, -0.2080867066802813 51.42438725542416))",314.0,1.842220589930057,0.05
630,"POLYGON ((-0.2080867066802813 51.47438725542416, -0.2080867066802813 51.52438725542416, -0.2580867066802813 51.52438725542416, -0.2580867066802813 51.47438725542416, -0.2080867066802813 51.47438725542416))",1369.0,0.8869070636630368,0.11
631,"POLYGON ((-0.2080867066802813 51.52438725542416, -0.2080867066802813 51.57438725542416, -0.2580867066802813 51.57438725542416, -0.2580867066802813 51.52438725542416, -0.2080867066802813 51.52438725542416))",1355.0,2.3779436002484386,0.041
632,"POLYGON ((-0.2080867066802813 51.57438725542416, -0.2080867066802813 51.62438725542415, -0.2580867066802813 51.62438725542415, -0.2580867066802813 51.57438725542416, -0.2080867066802813 51.57438725542416))",1613.0,0.9005415410270166,0.103
633,"POLYGON ((-0.2080867066802813 51.62438725542415, -0.2080867066802813 51.67438725542415, -0.2580867066802813 51.67438725542415, -0.2580867066802813 51.62438725542415, -0.2080867066802813 51.62438725542415))",323.0,2.6396630412490163,0.037
635,"POLYGON ((-0.2080867066802813 51.72438725542415, -0.2080867066802813 51.77438725542414, -0.2580867066802813 51.77438725542414, -0.2580867066802813 51.72438725542415, -0.2080867066802813 51.72438725542415))",393.0,-0.6062397355208724,0.182
636,"POLYGON ((-0.2080867066802813 51.77438725542414, -0.2080867066802813 51.82438725542414, -0.2580867066802813 51.82438725542414, -0.2580867066802813 51.77438725542414, -0.2080867066802813 51.77438725542414))",178.0,-0.3302039495455949,0.36
637,"POLYGON ((-0.2080867066802813 51.82438725542414, -0.2080867066802813 51.87438725542414, -0.2580867066802813 51.87438725542414, -0.2580867066802813 51.82438725542414, -0.2080867066802813 51.82438725542414))",208.0,-0.6705772344944513,0.04
638,"POLYGON ((-0.2080867066802813 51.87438725542414, -0.2080867066802813 51.92438725542414, -0.2580867066802813 51.92438725542414, -0.2580867066802813 51.87438725542414, -0.2080867066802813 51.87438725542414))",122.0,-0.5398543252599017,0.255
640,"POLYGON ((-0.2080867066802813 51.97438725542413, -0.2080867066802813 52.02438725542413, -0.2580867066802813 52.02438725542413, -0.2580867066802813 51.97438725542413, -0.2080867066802813 51.97438725542413))",594.0,,0.001
646,"POLYGON ((-0.2080867066802813 52.27438725542412, -0.2080867066802813 52.32438725542411, -0.2580867066802813 52.32438725542411, -0.2580867066802813 52.27438725542412, -0.2080867066802813 52.27438725542412))",256.0,,0.001
648,"POLYGON ((-0.2080867066802813 52.37438725542411, -0.2080867066802813 52.42438725542411, -0.2580867066802813 52.42438725542411, -0.2580867066802813 52.37438725542411, -0.2080867066802813 52.37438725542411))",216.0,,0.001
651,"POLYGON ((-0.2080867066802813 52.5243872554241, -0.2080867066802813 52.5743872554241, -0.2580867066802813 52.5743872554241, -0.2580867066802813 52.5243872554241, -0.2080867066802813 52.5243872554241))",526.0,-0.18491200842767033,0.451
652,"POLYGON ((-0.2080867066802813 52.5743872554241, -0.2080867066802813 52.6243872554241, -0.2580867066802813 52.6243872554241, -0.2580867066802813 52.5743872554241, -0.2080867066802813 52.5743872554241))",364.0,0.180830760261536,0.259
661,"POLYGON ((-0.1580867066802813 50.8243872554242, -0.1580867066802813 50.8743872554242, -0.2080867066802813 50.8743872554242, -0.2080867066802813 50.8243872554242, -0.1580867066802813 50.8243872554242))",498.0,,0.001
663,"POLYGON ((-0.1580867066802813 50.92438725542419, -0.1580867066802813 50.97438725542419, -0.2080867066802813 50.97438725542419, -0.2080867066802813 50.92438725542419, -0.1580867066802813 50.92438725542419))",773.0,,0.001
666,"POLYGON ((-0.1580867066802813 51.07438725542418, -0.1580867066802813 51.12438725542418, -0.2080867066802813 51.12438725542418, -0.2080867066802813 51.07438725542418, -0.1580867066802813 51.07438725542418))",797.0,-0.09781003053249342,0.38
667,"POLYGON ((-0.1580867066802813 51.12438725542418, -0.1580867066802813 51.17438725542418, -0.2080867066802813 51.17438725542418, -0.2080867066802813 51.12438725542418, -0.1580867066802813 51.12438725542418))",402.0,0.45696420701369683,0.175
668,"POLYGON ((-0.1580867066802813 51.17438725542418, -0.1580867066802813 51.22438725542418, -0.2080867066802813 51.22438725542418, -0.2080867066802813 51.17438725542418, -0.1580867066802813 51.17438725542418))",499.0,0.13052858601770245,0.281
